"fulladdress","lon","lat"
"Corner Richardson Road and Nelson Bay, SALT ASH NSW 2318 AU",151.9028323,-32.7892869
"132 Allambie road, Allambie Heights NSW 2100 AU",151.2496733,-33.7650913
"861 Richmond Road, MARSDEN PARK NSW 2765 AU",150.84549,-33.7186269
"3 Thomas Rose Drive, Rosemeadow NSW 2560 AU",150.7986853,-34.1000598
"2720 Princes Highway, WANDANDIAN NSW 2540 AU",150.5076289,-35.0913833
"Lot 122 Dunheved Road, Werrington NSW 2747 AU",150.7427683,-33.7470454
"150 Woodville Rd, MERRYLANDS NSW 2160 AU",150.9997458,-33.8382125
"12-16 Sydney Street, MUSWELLBROOK NSW 2333 AU",150.887956,-32.2678114
"37 Woodhouse Dr Cnr Wickfield St, Ambarvale NSW 2560 AU",150.8019777,-34.0845078
"2 Lugard St, PENRITH NSW 2750 AU",150.6929332,-33.7349646
"84-86 Maitland St, MUSWELLBROOK NSW 2333 AU",150.8980933,-32.2779325
"153 Coreen Ave Cnr Castlereagh Rd, Penrith NSW 2750 AU",150.6925717,-33.7429698
"36 Great Western Highway, MOUNT VICTORIA NSW 2786 AU",150.2462442,-33.5842853
"387 New England Hwy, RUTHERFORD NSW 2320 AU",151.5075821,-32.7079625
"Lot 6 Star Court, CAMBRIDGE PARK NSW 2747 AU",150.7171697,-33.7406477
"53 Gregory Cres, LAKE ALBERT NSW 2650 AU",147.3821671,-35.166743
"50 Alliance Avenue, Morisset NSW 2264 AU",151.4776596,-33.1163628
"486 Londonderry Rd, LONDONDERRY NSW 2753 AU",150.7356436,-33.6425585
"275-279 Comur Street, Yass NSW 2582 AU",148.9161295,-34.8481747
"130 Cormorant Rd (Po Box 222), Kooragang NSW 2304 AU",151.7621395,-32.8839322
"255 -257 Old Northern Road, Castle Hill NSW 2154 AU",151.0035815,-33.734803
"64 Orange Grove Rd, WARWICK FARM NSW 2170 AU",150.9198407,-33.9123641
"103 Smith ST, Kempsey NSW 2440 AU",152.8438533,-31.0752633
"494 Pacific Hwy, Killara NSW 2071 AU",151.1608021,-33.7714523
"238 Pacific Highway, Lindfield NSW 2070 AU",151.1689959,-33.7788162
"131 Anzac Parade & Todman Avenue, Kensington NSW 2033 AU",151.2229031,-33.9102115
"110 Anzac Parade & Goodwood Street, Kensington NSW 2033 AU",151.2239719,-33.9072534
"228 Edgar Street, Condell Park NSW 2200 AU",151.0125837,-33.9224335
"179 Parramatta Road, Auburn NSW 2144 AU",151.0361649,-33.8410721
"630 Forest Road, BEXLEY NSW 2207 AU",151.117701,-33.9593795
"257-263 Great Western Hwy, BLACKHEATH NSW 2785 AU",150.2851752,-33.6337911
"154 Belgrave Street, Kempsey NSW 2440 AU",152.8326346,-31.0796278
"250 Newcastle Road, East Maitland NSW 2323 AU",151.5868845,-32.7525373
"Lot 12, 51 Pacific Highway, Viney Creek NSW 2324 AU",151.691397,-32.8444092
"380 Pacific Hwy, Coffs Harbour NSW 2450 AU",153.0891824,-30.318363
"9999 Pacific Hwy, BULAHDELAH NSW 2423 AU",152.227396,-32.3870269
"153 Elizabeth Dr, Vincentia NSW 2540 AU",150.6755098,-35.0699562
"24 Chatham Rd, Pitt Town NSW 2756 AU",150.8603225,-33.5867782
"108 Homer St, Earlwood NSW 2206 AU",151.1358821,-33.9240465
"928-930 King Georges Road, BLAKEHURST NSW 2221 AU",151.1084275,-33.9811083
"110 Canterbury Rd, BANKSTOWN NSW 2200 AU",151.0311569,-33.9342891
"607 Canterbury Road, Belmore NSW 2192 AU",151.0959163,-33.9214794
"126-128 Old Bathurst Road & Corner Russell Street, Emu Plains NSW 2750 AU",150.6547009,-33.7429882
"36 Mulgoa Road, Regentville NSW 2745 AU",150.6660268,-33.7750435
"92 Mulgoa Road & Batt Street, Jamisontown NSW 2750 AU",150.6795936,-33.7666435
"49-51 Great Western Highway, Emu Plains NSW 2750 AU",150.6762172,-33.7465302
"10 Kendal Street, Cowra NSW 2794 AU",148.6872455,-33.8338454
"Lot 6 Princes Highway, Tomerong NSW 2540 AU",150.5793697,-35.0184601
"Main Rd & Summer Hayes Road, Wyee NSW 2259 AU",-75.0079811,39.4661054
"114 Chelmsford Drive, Metford NSW 2325 AU",151.6118511,-32.7663353
"261 Anderson Drive, Beresfield NSW 2322 AU",151.6450448,-32.7992337
"Lot 2 New England Highway, Whittingham NSW 2330 AU",151.231305,-32.6405775
"59 John Street, Singleton NSW 2330 AU",151.1652398,-32.5674843
"56 Victoria Street, Taree NSW 2430 AU",152.4663299,-31.9105734
"39-53 Princes Highway, Cobargo NSW 2550 AU",149.8896083,-36.386903
"459 Pacific Hwy, WYOMING NSW 2250 AU",151.3478841,-33.4103914
"126-130 Broadway St, JUNEE NSW 2663 AU",147.5835143,-34.868267
"287 Main Street, Toukley NSW 2263 AU",151.5457228,-33.2624548
"Dunheved Road, WERRINGTON NSW 2747 AU",150.7537641,-33.7488346
"161-163 Pacific Hwy, Ourimbah NSW 2258 AU",151.3689363,-33.3491771
"354 Corner Flushcombe Road & Myrtle Street, Blacktown NSW 2148 AU",150.9062162,-33.7863642
"Cnr Fitzroy & Cobra Streets, Dubbo NSW 2830 AU",150.5065985,-23.3799408
"1542 Federal Highway Service Road, Sutton NSW 2620 AU",149.2314356,-35.184608
"36 Lagoon Street, BEGA NSW 2550 AU",149.8289421,-36.6681681
"40 Industrial Drive, Mayfield NSW 2304 AU",151.7518603,-32.8974897
"Border Roadhouse 1823 New England Hwy, JENNINGS NSW 4383 AU",151.9257099,-28.9325634
"1465-1467 Elizabeth Drive, Kemps Creek NSW 2178 AU",150.7889329,-33.8792121
"68 Bathurst Road, ORANGE NSW 2800 AU",149.1094676,-33.2908117
"481 Luxford Road, Shalvey NSW 2770 AU",150.8052847,-33.729482
"516-526 Great Western Hwy, ST MARYS NSW 2760 AU",150.766136,-33.7703269
"189 South Creek Road, CROMER NSW 2099 AU",151.2803635,-33.7361527
"2 Lagoon St, Guyra NSW 2365 AU",151.6673189,-30.2171171
"2510 Silverdale Road, Wallacia NSW 2745 AU",150.6183994,-33.8756976
"119 Harbord Rd, Freshwater NSW 2096 AU",151.2794479,-33.77246
"Cnr Patrick & Watkins Streets, Merewether NSW 2291 AU",NA,NA
"Great Western Hwy, MARRANGAROO NSW 2790 AU",150.1154774,-33.4463637
"400 Luxford Road, Lethbridge Park NSW 2770 AU",150.7983674,-33.7368412
"35 Melbourne St, EAST MAITLAND NSW 2323 AU",151.5839452,-32.7450016
"67-71 Scenic Drive, Budgewoi NSW 2262 AU",151.5557644,-33.2343229
"122 Hammond Avenue, Wagga Wagga NSW 2650 AU",147.3921267,-35.1225987
"No 6 Main Road, Boolaroo NSW 2284 AU",151.6236976,-32.9505339
"49 Caramba St, Glenreagh NSW 2450 AU",152.9788326,-30.0500606
"18 Allandale St, Kearsley NSW 2325 AU",151.3951061,-32.8586632
"70-72 Capper Street, TUMUT NSW 2720 AU",148.2196648,-35.3008991
"875 Richmond Rd, MARSDEN PARK NSW 2765 AU",150.8447632,-33.7162031
"200 Homer St, Earlwood NSW 2206 AU",151.1285776,-33.9270724
"359 Pacific Highway, North Wyong NSW 2259 AU",151.442681,-33.2700207
"7 148 Sunnyholt Road, BLACKTOWN NSW 2148 AU",150.9148949,-33.7528377
"46 Wyrallah Rd, Lismore NSW 2480 AU",153.2843638,-28.8184249
"88-90 Great Western Highway, Colyton NSW 2760 AU",150.7953284,-33.775555
"3 Williamtown Dr, Williamtown NSW 2318 AU",151.8433439,-32.8116701
"113 Union st, Lismore NSW 2480 AU",153.2678892,-28.8103201
"42 Ambrose Street, CAREY BAY NSW 2283 AU",151.6051019,-33.0229752
"136 Appin Road, APPIN NSW 2560 AU",150.789762,-34.1951447
"65-69 Richmond Rd, BLACKTOWN NSW 2148 AU",150.9025167,-33.7638849
"539 Wilberforce Rd, WILBERFORCE NSW 2756 AU",150.8384945,-33.5629503
"963 Old Princes Hwy, Engadine NSW 2233 AU",151.0167048,-34.064299
"105 Wyee Road, WYEE NSW 2259 AU",151.4808067,-33.1751725
